YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,SEX,STAGE,JVSEX,COMMENT,TOTAL2,SIZE,FISHID,GROUPNUM,STRUC,WATER,TYPE,AREA,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,difference,OTOAGED,JBFISHID,selection.50,GRAM,FL,STATE,AGE
2008,143,Sheepshead,10,21,274,8,1.498,291,311,2,1,2,,12.244,12,2008102100002740008,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-093,,679.4928,291,VA,1
2008,144,Sheepshead,10,21,274,9,0.995,256,279,0,0,1,,10.984,10,2008102100002740009,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-094,,451.332,256,VA,1
2008,145,Sheepshead,10,21,274,10,2.798,357,385,1,1,1,,15.157,15,2008102100002740010,356,2,306,C,BAY,,2,2,2,2,2,2006,,1,AP8-095,1,1269.1728,357,VA,2
2008,146,Sheepshead,10,21,274,11,1.186,266,290,2,1,2,,11.417,11,2008102100002740011,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-096,,537.9696,266,VA,1
2008,147,Sheepshead,10,21,274,12,0.7,230,242,0,0,2,,9.528,9,2008102100002740012,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-097,,317.52,230,VA,1
2008,148,Sheepshead,10,21,274,13,0.916,248,271,2,1,2,,10.669,10,2008102100002740013,356,2,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-098,1,415.4976,248,VA,1
2008,149,Sheepshead,10,21,274,14,0.707,229,250,0,0,2,,9.843,9,2008102100002740014,356,2,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-099,1,320.6952,229,VA,1
2008,150,Sheepshead,10,21,274,15,0.866,233,254,0,0,2,,10,10,2008102100002740015,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-100,,392.8176,233,VA,1
2008,151,Sheepshead,10,21,274,16,0.718,229,252,0,0,1,,9.921,9,2008102100002740016,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-101,,325.6848,229,VA,1
2008,152,Sheepshead,10,21,274,17,1.101,256,278,2,1,2,,10.945,10,2008102100002740017,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-102,,499.4136,256,VA,1
2008,153,Sheepshead,10,21,274,18,0.806,243,262,2,1,2,,10.315,10,2008102100002740018,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-103,,365.6016,243,VA,1
2008,154,Sheepshead,10,21,274,19,1.06,255,283,2,1,2,,11.142,11,2008102100002740019,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-104,,480.816,255,VA,1
2008,155,Sheepshead,10,21,274,20,0.822,232,254,0,0,1,,10,10,2008102100002740020,356,2,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-105,1,372.8592,232,VA,1
2008,156,Sheepshead,10,21,274,21,0.837,243,263,0,0,1,,10.354,10,2008102100002740021,356,2,306,C,BAY,,1,1,1,,1,2007,,1,AP8-106,,379.6632,243,VA,1
2008,157,Sheepshead,10,21,274,22,0.648,225,248,0,0,1,,9.764,9,2008102100002740022,356,2,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-107,1,293.9328,225,VA,1
2008,158,Sheepshead,10,21,281,1,1.315,267,294,1,1,1,,11.575,11,2008102100002810001,356,1,347,C,BAY,,1,1,1,,1,2007,,1,AP8-158,,596.484,267,VA,1
2008,159,Sheepshead,10,21,281,2,1.282,266,293.00,0,0,1,,10.748,10,2008102100002810002,356,1,347,C,BAY,,1,1,1,1,1,2007,,1,AP8-159,1,581.5152,266,VA,1
2008,160,Sheepshead,10,21,281,3,1.443,278,299,1,1,1,,11.772,11,2008102100002810003,356,1,347,C,BAY,,1,1,1,,1,2007,,1,AP8-160,,654.5448,278,VA,1
2008,161,Sheepshead,10,23,289,1,1.557,289,312,2,1,2,,12.283,12,2008102300002890001,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-161,1,706.2552,289,VA,1
2008,162,Sheepshead,10,23,289,2,1.418,281,308,2,1,2,,12.126,12,2008102300002890002,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-162,1,643.2048,281,VA,1
2008,163,Sheepshead,10,23,289,3,0.671,226,246,2,1,2,,9.685,9,2008102300002890003,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-163,,304.3656,226,VA,1
2008,164,Sheepshead,10,29,5436,1,2.69,355,392.5,1,3,1,,15.453,15,2008102905054360001,356,2,625,C,OCEAN,,2,2,1,1,2,2006,1,1,AP8-164,1,1220.184,355,VA,2
2008,165,Sheepshead,11,10,303,1,1.1,258,271,1,2,1,,10.669,10,2008111006003030001,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-166,1,498.96,258,VA,1
2008,166,Sheepshead,11,10,303,2,1.05,259,274,0,0,2,,10.787,10,2008111006003030002,356,1,306,C,BAY,,1,1,1,1,1,2007,,1,AP8-165,1,476.28,259,VA,1
2008,167,Sheepshead,11,10,303,3,1.12,268,288,2,1,2,,11.339,11,2008111006003030003,356,1,306,C,BAY,,1,1,1,,1,2007,,1,AP8-167,,508.032,268,VA,1
